y,x,char,value
4,3,-,0.021601589396595955
4,4,-,0.01175003033131361
4,5,-,0.006789667531847954
4,6,-,0.006100127473473549
4,7,-,0.009554261341691017
4,8,-,0.006854327395558357
4,9,-,0.006671268492937088
4,10,-,0.007198176346719265
4,11,-,0.008260408416390419
4,12,-,0.009776505641639233
4,13,-,0.012341180816292763
4,14,-,0.012821592390537262
4,15,-,0.016842341050505638
4,16,-,0.1779337227344513
4,17,-,0.032514773309230804
4,18,-,0.02156584896147251
4,19,-,0.014734725467860699
4,20,-,0.01614912413060665
4,21,-,0.01839594915509224
4,22,-,0.025597862899303436
4,23,-,0.01685584895312786
4,24,-,0.012754186056554317
4,25,-,0.01261303573846817
4,26,-,0.010604389011859894
4,27,-,0.008942579850554466
4,28,-,0.009368227794766426
4,29,T,2.4472196102142334
4,30,-,0.023308411240577698
4,31,-,0.024118419736623764
4,32,-,0.0354873426258564
4,33,-,0.06582951545715332
4,34,-,0.051456622779369354
4,35,-,0.1841486543416977
4,36,-,0.27195921540260315
4,37,-,0.023079628124833107
4,38,-,0.04367804899811745
4,39,-,0.08941885083913803
4,40,-,0.34151849150657654
4,41,-,0.09612318128347397
4,42,-,0.13257378339767456
4,43,T,0.3358975052833557
4,44,-,0.0
4,45,-,0.0
4,46,-,0.0
4,47,-,0.0
4,48,-,0.0
4,49,-,0.0
4,50,-,0.0
4,51,-,0.0
4,52,-,0.0
4,53,-,0.0
4,54,-,0.0
4,55,-,0.0
4,56,-,0.0
4,57,-,0.0
4,58,-,0.0
4,59,-,0.0
4,60,-,0.0
4,61,-,0.0
4,62,-,0.0
4,63,-,0.0
4,64,-,0.0
4,65,-,0.0
4,66,-,0.0
4,67,-,0.0
4,68,-,0.0
4,69,-,0.0
4,70,-,0.0
4,71,-,0.0
4,72,-,0.0
4,73,-,0.0
4,74,-,0.0
4,75,-,0.0
4,76,-,0.0
4,77,-,0.0
4,78,-,0.0
4,79,-,0.0
4,80,-,0.0
4,81,-,0.0
4,82,-,0.0
4,83,-,0.0
4,84,-,0.0
4,85,-,0.0
4,86,-,0.0
4,87,-,0.0
4,88,-,0.0
4,89,-,0.0
4,90,-,0.0
4,91,-,0.0
4,92,-,0.0
4,93,-,0.0
4,94,-,0.0
4,95,-,0.0
4,96,-,0.0
4,97,-,0.0
4,98,-,0.0
4,99,-,0.0
5,0,-,0.859441876411438
5,1,-,0.3793502748012543
5,2,-,0.15752637386322021
5,3,-,0.0534864105284214
5,4,-,0.36837178468704224
5,5,-,0.05279899016022682
5,6,-,0.06496075540781021
5,7,-,0.060312893241643906
5,8,-,0.008388170972466469
5,9,-,0.005446850322186947
5,10,-,0.006267115008085966
5,11,-,0.00649503106251359
5,12,-,0.017513303086161613
5,13,-,0.040344130247831345
5,14,-,0.04244348034262657
5,15,-,0.10246450453996658
5,16,-,0.3217368423938751
5,17,-,0.4438565671443939
5,18,-,0.15350431203842163
5,19,-,0.06888893991708755
5,20,-,0.028967829421162605
5,21,-,0.03373406454920769
5,22,-,0.054256927222013474
5,23,-,0.044732674956321716
5,24,-,0.044593505561351776
5,25,-,0.07665016502141953
5,26,-,0.041606299579143524
5,27,-,0.012144683860242367
5,28,-,0.026893844828009605
5,29,T,0.8767642378807068
5,30,-,0.030108826234936714
5,31,-,0.009247281588613987
5,32,-,0.06433148682117462
5,33,-,0.04124154895544052
5,34,-,0.016435950994491577
5,35,-,0.10457685589790344
5,36,-,0.4561842679977417
5,37,-,0.054982706904411316
5,38,-,0.07613982260227203
5,39,-,0.25707176327705383
5,40,-,1.3842869997024536
5,41,-,0.2629302442073822
5,42,-,0.17390033602714539
5,43,T,0.022348254919052124
5,44,-,0.0
5,45,-,0.0
5,46,-,0.0
5,47,-,0.0
5,48,-,0.0
5,49,-,0.0
5,50,-,0.0
5,51,-,0.0
5,52,-,0.0
5,53,-,0.0
5,54,-,0.0
5,55,-,0.0
5,56,-,0.0
5,57,-,0.0
5,58,-,0.0
5,59,-,0.0
5,60,-,0.0
5,61,-,0.0
5,62,-,0.0
5,63,-,0.0
5,64,-,0.0
5,65,-,0.0
5,66,-,0.0
5,67,-,0.0
5,68,-,0.0
5,69,-,0.0
5,70,-,0.0
5,71,-,0.0
5,72,-,0.0
5,73,-,0.0
5,74,-,0.0
5,75,-,0.0
5,76,-,0.0
5,77,-,0.0
5,78,-,0.0
5,79,-,0.0
5,80,-,0.0
5,81,-,0.0
5,82,-,0.0
5,83,-,0.0
5,84,-,0.0
5,85,-,0.0
5,86,-,0.0
5,87,-,0.0
5,88,-,0.0
5,89,-,0.0
5,90,-,0.0
5,91,-,0.0
5,92,-,0.0
5,93,-,0.0
5,94,-,0.0
5,95,-,0.0
5,96,-,0.0
5,97,-,0.0
5,98,-,0.0
5,99,-,0.0
6,0,-,0.09244631230831146
6,1,-,0.057342980057001114
6,2,-,0.02454320713877678
6,3,-,0.028291983529925346
6,4,-,1.1746710538864136
6,5,-,0.12742020189762115
6,6,-,0.01983625628054142
6,7,-,0.02921050600707531
6,8,-,0.006278057582676411
6,9,-,0.006043111439794302
6,10,-,0.007697028573602438
6,11,-,0.009416391141712666
6,12,-,0.02157074213027954
